data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2024-02-19,Maia,Moreira da Maia,Rua Cruz das Guardeiras,peão,mortal,própria viatura,,,"Pessoa morreu atropelada pela própria viatura, alerta às 09:22",portocanal.sapo.pt
2024-02-29,Vila Nova de Gaia,São Félix da Marinha,Estação da Granja,peão,ferido grave,comboio,37,M,"Homem atropelado por comboio na estação da Granja, transportado em estado grave para Hospital Santos Silva",cmjornal.pt
2024-04-20,Espinho,Paramos,Linha do Norte,peão,mortal,comboio,~30,M,"Homem colhido por comboio na Linha do Norte em Paramos, 200m da estação, sem indícios de crime",publico.pt
2024-05-31,Maia,Águas Santas,,peão,ferido,,,,Atropelamento rodoviário registado às 20:18,traumas.online
2024-06-16,Valongo,Valongo,Rua Central do Campo,ciclista,mortal,ligeiro passageiros,64,M,"Ciclista pedalava com genro quando condutor de 23 anos perdeu controlo e o abalroou, corpo projetado 10m para stand automóveis",jn.pt
2024-06-17,Gondomar,São Cosme/Valbom/Jovim,,peão,mortal,,,,"Peão morreu atropelado, alerta às 08:44, óbito confirmado às 09:19",portocanal.sapo.pt
2024-07-07,Espinho,Espinho,Rua Nº8 Linha do Norte,peão,mortal,comboio,,M,"Homem morreu colhido por comboio às 08:06, circulação restabelecida às 10:30",cmjornal.pt
2024-07-19,Paços de Ferreira,Ferreira,Via do Poder Local,peão,ferido ligeiro,,,,"Atropelamento rodoviário, vítima transportada ao Hospital Padre Américo em Penafiel",averdade.com
2024-07-22,Póvoa de Varzim,Póvoa de Varzim,Praça Marquês de Pombal (frente à PSP),peão,ferido grave,,72,F,"Mulher atropelada em frente à esquadra da PSP, transportada em estado grave para Hospital Pedro Hispano",jn.pt
2024-08-04,Vila do Conde,Vila do Conde,Rua 5 de Outubro junto Rotunda dos Fundadores,peão,ferido grave,,,F,"Mulher atropelada em passadeira, transportada para Hospital São João",jornal-renovacao.pt
2024-08-14,Santa Maria da Feira,Escapães,,peão,ferido,,,,Atropelamento rodoviário registado às 08:56,traumas.online
2024-08-20,Espinho,Paramos,EN109,peão,ferido moderado,,~70,M,"Homem atropelado às 08:30, transportado para Hospital de Gaia",cmjornal.pt
2024-09-04,Espinho,Espinho,Rua 19 cruzamento com Rua 30,peão,ferido grave,ligeiro passageiros,85,M,"Idoso atropelado em passadeira, traumatismo cranioencefálico grave, projetado 6 metros, transportado para Hospital Santos Silva",defesadeespinho.pt
2024-09-28,Arouca,Alvarenga,,peão,ferido grave,automóvel,,,"Peão atropelado por carro, transportado para Hospital São Sebastião em Santa Maria da Feira",cmjornal.pt
2024-10-09,Vila Nova de Gaia,Madalena,Avenida dos Descobrimentos,peão,ferido ligeiro,,,,"Atropelamento às 08:11, vítima transportada para Hospital de Gaia",ogaiense.pt
2024-10-14,Vila Nova de Gaia,Serzedo,Largo Rainha Santa Isabel (empresa reciclagem),peão,mortal,camião,74,M,"Trabalhador morreu atropelado por camião dentro de empresa, acidente de trabalho",cmjornal.pt
2024-10-16,Porto,Constituição,Rua da Constituição,peão,ferido grave,automóvel,~55,M,"Homem sentiu-se mal e caiu na via sendo atropelado por carro às 20:22, transportado para Hospital Santo António",cmjornal.pt
2024-10-29,São João da Madeira,São João da Madeira,Rua João de Deus,peão,ferido grave,ligeiro passageiros,70,F,"Mulher atropelada por carro conduzido por jovem de 20 anos, transportada para Hospital São Sebastião na Feira",diarioaveiro.pt
2024-11-18,São João da Madeira,São João da Madeira,Avenida Eng. Arantes Oliveira,peão,ferido ligeiro,,idoso,M,"Idoso a atravessar passadeira quando veículo se aproximou, causando queda",traumas.online
2024-11-19,Vila Nova de Gaia,Serzedo,,peão,ferido,,,,"Atropelamento rodoviário registado às 19:26",traumas.online
2024-11-22,Paços de Ferreira,Freamunde,Largo de São Francisco,peão,ferido ligeiro,,,,"Atropelamento rodoviário, vítima transportada ao Hospital Padre Américo",averdade.com
2024-12-02,Paredes,Besteiros,,peão,ferido,,,,"Atropelamento rodoviário às 13:58, GNR e bombeiros no local",averdade.com
2024-12-06,Maia,Cidade da Maia,Rua Eng. Duarte Pacheco,peão,3 feridos ligeiros,motociclo,,,3 peões atropelados por motociclo às 17:42 entre Rua do Picoto e Rua Clotilde Ferreira da Cruz,noticiasmaia.com
2024-12-08,Santo Tirso,Lamelas,,peão,ferido grave,ligeiro passageiros,,,"Condutor de 40 anos atropelou vítima e fugiu sem prestar auxílio, identificado pelo NICAVE da GNR",noticiasaominuto.com
2024-12-09,Gondomar,Baguim do Monte,Rua Dom António Castro Meireles,peão,ferido ligeiro,automóvel,,F,"Mulher atropelada às 13:53, transportada para Hospital Santo António",cmjornal.pt
2024-12-15,Maia,Vila Nova da Telha/Moreira,Rua da Fábrica,peão,ferido muito grave,automóvel,78,F,"Mulher atropelada às 09:00, entrou em paragem cardiorrespiratória",cmjornal.pt
2024-12-17,Vila do Conde,Gião,EN306,peão,mortal,ligeiro passageiros,11,F,"Isabel saía do autocarro escolar e atravessava EN306 quando foi atropelada, morreu dia 19 no Hospital São João",diariodominho.pt
2025-01-04,Oliveira de Azeméis,Oliveira de Azeméis,EN1,ciclista,mortal,Jaguar (ligeiro),64,M,"Justino Oliveira pedalava com amigo de 56 anos quando Jaguar os abalroou por trás, ciclista entrou em paragem cardiorrespiratória",cmjornal.pt
2025-01-04,Oliveira de Azeméis,Oliveira de Azeméis,EN1,ciclista,ferido grave,Jaguar (ligeiro),56,M,Segundo ciclista do mesmo grupo gravemente ferido no mesmo acidente,cmjornal.pt
2025-01-07,Matosinhos,Matosinhos,Rua Nova de Sendim,peão,ferido grave,automóvel,55,F,"Mãe e filha atravessavam rua de mão dada fora da passadeira, filha de 55 anos ferida grave, mãe de 87 ferida ligeira",cmjornal.pt
2025-01-07,Matosinhos,Matosinhos,Rua Nova de Sendim,peão,ferido ligeiro,automóvel,87,F,Mãe de 87 anos caiu após impacto do atropelamento da filha - mesmo acidente,cmjornal.pt
2025-01-10,Valongo,Ermesinde,Rua Eng. Duarte Pacheco,peão,ferido grave,,86,M,"Idoso atropelado às 12:53, motociclista atrás também se despistou com ferimentos ligeiros, ambos para Hospital São João",cmjornal.pt
2025-02-06,Paredes,Lordelo,EN209 km 26.9,peão,ferido grave,ligeiro passageiros,,,"Atropelamento às 19:18, vítima transportada para Hospital de Penafiel",averdade.com
2025-02-12,Póvoa de Varzim,Argivai,EN206 / Rua São Miguel-O-Anjo,peão,mortal,ligeiro passageiros,~60,M,"Homem atropelado às 21:00, via com frequentes atropelamentos, condutor com ferimentos ligeiros",jornal-renovacao.pt
2025-02-14,Vila Nova de Gaia,Gaia,Entre estações João de Deus e D. João II,peão,ferido grave,metro,~40,F,"Mulher atropelada pelo metro às 14:40, várias fraturas, consciente, circulação retomada às 15:30",radioregional.pt
2025-04-09,Valongo,Ermesinde,Rua José Ribeiro Teles,peão,ferido grave,automóvel,,M,"Homem atravessou rua a correr e foi atropelado às 10:38, transportado para Hospital São João",jornalnovoregional.pt
2025-04-23,Espinho,Espinho,Cruzamento Rua 19 com Rua 26 (jardim tribunal),peão,2 feridos graves + 2 ligeiros,VMER INEM,,,Viatura VMER do INEM despistou-se em urgência às 10:31 e atropelou duas mulheres - médica do INEM e uma atropelada em estado grave,publico.pt
2025-05-06,Vila Nova de Gaia,Gaia,Estação D. João II,peão,ferido ligeiro,metro,50,F,"Mulher entalou mão na porta do metro e foi arrastada cerca de 2 metros, escoriações nos joelhos e cabeça",cnnportugal.iol.pt
2025-05-22,Gondomar,Valbom,Rua da Giesta,peão,ferido ligeiro,automóvel,,,"Peão atropelado às 08:28, transportado para Hospital Santo António",cmjornal.pt
