data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2026-03-13,Póvoa de Varzim,Laúndos,Via pública em Laúndos,peão (trabalhador),fatal,camião (pesado),,masculino,Homem parou camião na via pública para reparar avaria; veículo moveu-se e atropelou-o. Morte declarada no local.,https://cnnportugal.iol.pt/laundos/pesados/homem-morre-atropelado-por-camiao-na-povoa-de-varzim/20260313/69b3dc66d34e28842c81b2bf
2026-02-12,Porto,Ramalde / Monte dos Burgos,Estrada da Circunvalação (Monte dos Burgos),peão,fatal,automóvel,,feminino,Mulher atropelada na Circunvalação por volta das 06:30. Manobras de reanimação no local sem sucesso. Condutor em fuga.,https://www.jn.pt/pais/artigo/mulher-morreu-atropelada-na-estrada-da-circunvalacao-no-porto/18051554
2026-02-08,Gondomar,Rio Tinto,Rua Afonso de Albuquerque (Rio Tinto),peão,ferido grave (2 vítimas),autocarro,,,Autocarro despistou-se e atropelou duas pessoas. Ambas em estado grave. Transportadas ao Hospital de S. João.,https://tvi.iol.pt/noticias/atropelados/autocarro/duas-pessoas-em-estado-grave-apos-serem-atropeladas-por-autocarro-em-rio-tinto/20260208/69889b97d34e0ec52ec3484e
2025-12-06,Vila Nova de Gaia,Canidelo,Avenida Beira-Mar (Canidelo),peão,fatal + ferido ligeiro,automóvel (excesso velocidade),65 (morto) / 64 (ferida),masculino (morto) / feminino (ferida),Casal saía de bar no Paredão quando dois carros em excesso de velocidade causaram acidente. Homem de 65 anos morreu no local; mulher de 64 com ferimentos na perna. Condutor (22 anos) fugiu e entregou-se no dia seguinte à PSP.,https://observador.pt/2025/12/07/um-morto-e-um-ferido-num-atropelamento-com-fuga-em-vila-nova-de-gaia/
2025-11-26,Maia,Águas Santas,Linha do Minho (apeadeiro de Águas Santas),peão,fatal,comboio,63,masculino,Homem de 63 anos atropelado por comboio na Linha do Minho às 07:51. Assistido no local mas não resistiu aos ferimentos.,https://observador.pt/2025/11/26/homem-morre-em-atropelamento-na-linha-do-minho-que-ficou-com-circulacao-condicionada/
2025-11-24,Vila Nova de Gaia,Valadares,Linha do Norte (Valadares),peão,fatal,comboio,,feminino,Mulher morreu ao ser colhida por comboio na Linha do Norte em Valadares por volta das 22:20. Área proibida a peões.,https://observador.pt/2025/11/24/um-morto-em-atropelamento-ferroviario-em-valadares-em-vila-nova-de-gaia/
2025-11-18,Matosinhos,Senhora da Hora,Estação de metro da Senhora da Hora,peão,ferido grave,metro do Porto,30,feminino,"Mulher de 30 anos atropelada pelo metro na estação da Senhora da Hora às 17:35. Ficou com perna presa debaixo do metro. Ferimentos no braço, perna e cabeça. Transportada ao Hospital Pedro Hispano.",https://rr.pt/noticia/pais/2025/11/18/mulher-colhida-pelo-metro-com-ferimentos-graves-em-matosinhos/448353/
2025-11-07,Valongo,Valongo Centro,Praça Machado dos Santos / EN15,peão,ferido (gravidade não especificada),automóvel,,,Peão atropelado junto a passadeira no centro de Valongo às 18:08. Trânsito na EN15 interrompido. 4 veículos e 9 bombeiros mobilizados.,https://www.jornalnovoregional.pt/2025/11/atropelamento-interrompe-transito-no-centro-de-valongo/
2025-10-20,Porto,Cedofeita,Rua Júlio Dinis,peão,fatal,autocarro STCP,66,feminino,Mulher de 66 anos morre atropelada por autocarro da STCP na Rua Júlio Dinis ao final da tarde (18:15). Vítima carregava sacos e desequilibrou-se. 19 operacionais e 7 veículos mobilizados. STCP abriu inquérito.,https://www.publico.pt/2025/10/20/local/noticia/mulher-morre-atropelada-autocarro-rua-julio-dinis-porto-2151523
2025-03-22,Gondomar,Rio Tinto,Rua Nossa Senhora do Amparo / EN15,peão,gravidade não especificada,ligeiro de passageiros,,,Peão atropelado por automóvel ligeiro às 09:23. EN15 cortada nos dois sentidos. Vítima transportada ao Hospital de Santo António.,https://rr.pt/noticia/pais/2025/03/22/en15-cortada-em-rio-tinto-gondomar-apos-atropelamento/418553/
2024-11,Porto,Campo Alegre,Rua do Campo Alegre,peão,fatal,automóvel,72,feminino,"Maria Dulce Leal, 72 anos, atropelada numa passadeira no Campo Alegre. Projetada vários metros por carro conduzido por mulher de 81 anos.",https://www.cmjornal.pt/portugal/detalhe/alerta-cm--mulher-de-45-anos-atropelada-no-porto
2024-09,Vila Nova de Gaia,Madalena,Apeadeiro da Madalena (Linha do Norte),peão,fatal,comboio,,masculino,Homem morre atropelado por comboio junto ao apeadeiro da Madalena ao início da noite. Alerta às 20:04.,https://www.ogaiense.pt/noticias/noticiario/uma-pessoa-morreu-apos-atropelamento-de-comboio-na-madalena
