data,localizacao,municipio,latitude,longitude,confianca
2026-03-13,Via pública em Laúndos,Póvoa de Varzim,41.3821981,-8.7569645,baixa
2026-02-12,Estrada da Circunvalação (Monte dos Burgos),Porto,41.1796916,-8.6267535,alta
2026-02-08,Rua Afonso de Albuquerque (Rio Tinto),Gondomar,41.1682485,-8.5616845,alta
2025-12-06,Avenida Beira-Mar (Canidelo),Vila Nova de Gaia,41.1332383,-8.6697979,alta
2025-11-26,Linha do Minho (apeadeiro de Águas Santas),Maia,41.2373456,-8.6299982,baixa
2025-11-24,Linha do Norte (Valadares),Vila Nova de Gaia,41.095291,-8.6326514,media
2025-11-18,Estação de metro da Senhora da Hora,Matosinhos,41.1880792,-8.6544931,alta
2025-11-07,Praça Machado dos Santos / EN15,Valongo,41.189044,-8.4965177,alta
2025-10-20,Rua Júlio Dinis,Porto,41.0237015,-8.5739193,alta
2025-03-22,Rua Nossa Senhora do Amparo / EN15,Gondomar,41.1809624,-8.5357682,alta
2024-11,Rua do Campo Alegre,Porto,41.1524219,-8.6347225,alta
2024-09,Apeadeiro da Madalena (Linha do Norte),Vila Nova de Gaia,41.1114874,-8.637766,media
2024-07-09,Linha do metro em Francos,Porto,41.1502195,-8.6103497,baixa
2024-06-06,Rua Oliveira Gaio (São Mamede de Infesta),Matosinhos,41.1912232,-8.6106388,media
2024-05-13,Alameda Infanta Dona Mafalda (Parque do Sardão),Matosinhos,41.2158488,-8.6755061,media
2024-04,Estação de metro Carreira (Rio Tinto),Gondomar,41.1798361,-8.5435122,alta
2023-03-11,Avenida da Boavista (cruzamento com Rua 15 de Novembro),Porto,41.1589025,-8.6307748,media
2023-03-02,Estrada da Circunvalação (junto ao McDonald's),Porto,41.1837074,-8.6114785,media
2023-01-01,Rua Oliveira Monteiro (cruzamento com Rua da Boavista),Porto,41.1587618,-8.6237975,media
2022-10-03,Rua 1º de Maio,Matosinhos,41.1826062,-8.6825423,alta
2022-08-18,Avenida da Boavista (passadeira),Porto,41.1643251,-8.6670099,media
2022-07-18,Estação de metro de Pias (Linha Verde),Matosinhos,41.1806814,-8.6821998,baixa
2022,Estrada da Circunvalação (Matosinhos),Matosinhos,41.1770407,-8.6609685,alta
2019-11-09,Cruzamento Rua Morgado de Mateus com Rua Visconde de Bóbeda,Porto,41.1470911,-8.6002572,media
