data,municipio,freguesia_zona,localizacao,tipo_vitima,severidade,veiculo_envolvido,idade_vitima,genero_vitima,circunstancias,fonte
2020-01-01,Valongo,Ermesinde,Estação de Ermesinde (Linha Porto-Braga),peão,mortal,comboio,30,masculino,Homem de 30 anos atropelado por comboio cerca das 01h30 junto à estação de Ermesinde no sentido Porto-Braga. Causas por apurar.,https://sol.sapo.pt/2020/01/01/homem-morre-atropelado-por-comboio-junto-a-estacao-de-ermesinde/
2020-04-12,Maia,,Via Adelino Amaro da Costa,peão,mortal,automóvel,23,masculino,Atropelamento intencional às 18h30 após discussão. Condutor de 21 anos acelerou deliberadamente contra a vítima. Vítima hospitalizada no Hospital de São João faleceu às 23h25. Condenado a 15 anos de prisão.,https://observador.pt/2020/04/14/pj-detem-jovem-por-atropelamento-mortal-na-maia/
2020-09-21,Porto,Centro,Rua de Camões / Travessa Antero de Quental,peão,mortal,veículo pesado de mercadorias,desconhecida,masculino,Homem atropelado por camião junto a passadeira na Rua de Camões no centro do Porto. Esposa também ferida com ferimentos ligeiros e transportada ao Hospital de Santo António.,https://www.porto.pt/pt/noticia/corte-total-da-rua-de-camoes-devido-a-atropelamento
2020-09-21,Porto,Centro,Rua de Camões / Travessa Antero de Quental,peão,ferido leve,veículo pesado de mercadorias,desconhecida,feminino,Esposa da vítima mortal - ferida com ferimentos ligeiros no mesmo atropelamento por camião. Transportada ao Hospital de Santo António do Porto.,https://www.porto.pt/pt/noticia/corte-total-da-rua-de-camoes-devido-a-atropelamento
2020-10-26,Vila Nova de Gaia,Pedroso e Seixezelo,,peão,desconhecida,desconhecido,desconhecida,desconhecido,Atropelamento rodoviário registado às 12h20. Detalhes limitados.,https://traumas.online/occurrences/929015
2020-10-27,Vila Nova de Gaia,Madalena,,peão,desconhecida,desconhecido,desconhecida,desconhecido,Atropelamento rodoviário registado às 18h14. Detalhes limitados.,https://traumas.online/occurrences/930178
2020-12-21,Vila Nova de Gaia,Grijó e Sermonde,,peão,desconhecida,desconhecido,desconhecida,desconhecido,Atropelamento rodoviário registado. 2 operacionais e 1 meio no local. Detalhes limitados.,https://traumas.online/occurrences/976017
2021-01-13,Vila Nova de Gaia,Arcozelo,Avenida da Igreja,peão,mortal,automóvel,desconhecida,desconhecido,Peão atropelado por veículo ligeiro às 15h40. Vítima em paragem cardiorrespiratória à chegada dos bombeiros. Óbito declarado no local. 11 bombeiros da corporação da Aguda com 5 viaturas.,https://www.cmjornal.pt/portugal/detalhe/alerta-cm--um-morto-em-atropelamento-em-vila-nova-de-gaia
2021-05-23,Gondomar,Rio Tinto,Passagem de nível do Caneiro,peão,mortal,comboio,desconhecida,masculino,Atropelamento mortal em passagem de nível às 11h27. Circulação ferroviária intercalada após o acidente.,https://portocanal.sapo.pt/noticia/265644
2021-12-08,Vila Nova de Gaia,Vilar de Andorinho,,peão,desconhecida,desconhecido,desconhecida,desconhecido,Atropelamento rodoviário registado às 18h50. 4 operacionais e 2 meios no local. Detalhes limitados.,https://traumas.online/occurrences/1324683
2021-12-19,Valongo,Ermesinde,Estação CP de Ermesinde,peão,mortal,comboio,21,masculino,Jovem de 21 anos com auscultadores nos ouvidos atropelado por comboio na estação de Ermesinde. Testemunhas indicam que o comboio buzinou mas a vítima não ouviu. Circulação na linha Braga/Porto suspensa cerca de 1h47.,https://cnnportugal.iol.pt/atropelamento/rapaz-de-21-anos-morre-atropelado-por-comboio-enquanto-ia-de-auscultadores-em-ermesinde/20211219/61bf6a710cf2cc58e7d87037
